consumer_id,consumer_name,consumer_email,consumer_city,phone_number,date_of_birth,address,loyalty_points,country
226,Richard Turner,smithlaura@example.org,East Heatherton,001-372-436-2032x803,1934-01-25,"907 Nelson Brooks Suite 273 East Stevenmouth, WY 51151",867,UK
61,Jennifer Cruz,acollins@example.net,Reneehaven,961-950-8746,1981-11-08,"830 Hall Gateway Suite 466 Juantown, IA 18230",626,Germany
255,William Delacruz,fprince@example.org,Harrelltown,001-491-539-1832x694,1968-10-05,"Unit 9744 Box 2438 DPO AP 55137",211,USA
126,Amanda Chan,bridget34@example.org,New Carrieland,648.630.5667x8564,1979-08-10,"051 Kirby Knoll Loganstad, OH 20953",161,USA
10,David Rodriguez,nicolebowers@example.org,Joshuaview,540.982.3955,1949-04-23,"66060 Jones Village Apt. 502 Wagnermouth, TX 55598",973,Brazil
260,Chase Walker,gatesbrandon@example.net,North Patriciamouth,+1-915-403-7819x34403,1965-10-10,"PSC 5007, Box 5860 APO AE 68102",16,France
477,Benjamin Freeman,brianramos@example.org,East Shawnbury,915.886.9793x3146,1957-12-25,"403 Jerry Avenue Apt. 651 Smithstad, NV 86915",507,China
26,Michael Harris,johnny11@example.com,Riceland,001-859-244-6776x66412,1976-09-11,"50003 Harris Ford Apt. 399 West Andrea, KY 55405",817,Germany
53,Katherine Barker,wguzman@example.org,Cooktown,538-798-2697x973,1999-03-22,"PSC 5868, Box 4644 APO AA 79640",96,USA
379,Abigail Adams,pcooley@example.net,South Ashleyhaven,+1-805-973-5859x90037,1971-02-12,"41138 Hall Overpass Saundersstad, GU 06664",95,Italy
79,Belinda Lamb,lwashington@example.com,Boyleside,001-734-359-3268x94416,1969-05-27,"510 Benson Ville Apt. 314 New Johnnyton, KS 14454",718,UK
368,Christine Ali,edwinellis@example.net,Curryville,228.517.3252x90466,1943-06-22,"37706 Molly Forest Suite 311 South Peggyborough, ME 02447",118,Italy
186,Colleen Boyer,ikane@example.org,Lake Charles,(339)524-1654x598,1959-04-28,"PSC 6291, Box 3346 APO AA 54222",50,USA
406,Jenna Ramirez,lloydcurtis@example.org,West Bradleyfurt,+1-898-527-1190,1967-02-07,"13375 Padilla Keys South Paulshire, NJ 55054",958,UK
168,Adrienne Solis,isanders@example.net,Mirandaside,+1-306-553-0652,1976-08-24,"PSC 5523, Box 9361 APO AA 77989",574,Japan
473,Victoria Newton,alan29@example.com,Marcushaven,396-772-5135x53058,1967-08-27,"42744 Amanda Ranch New David, CA 70243",250,Brazil
305,Justin Rogers,jonesdonald@example.net,Port Katrina,(548)774-3804,1960-01-15,"0924 Kevin Hills Apt. 352 Port Sabrinafort, MA 81010",87,France
413,Michael Martin,alexis14@example.com,Ronaldchester,(998)319-6754,1993-11-15,"61474 Peter Curve Suite 322 East Pamelastad, ME 39367",813,China
236,Jonathan Williams III,fbush@example.net,West Victoriatown,513.348.3061,1969-04-21,"617 Alexis Turnpike Apt. 573 West Michael, WI 20272",151,USA
335,Johnny Lopez MD,moorelori@example.org,Hicksbury,(537)380-5164x99175,1958-08-08,"59512 Cooley Pines Apt. 825 Garrettberg, AZ 44832",312,France
396,Steven Kim,amanda19@example.net,East Jacksonshire,(302)876-7875x87714,1960-02-10,"51666 Matthew Unions Williamshaven, DC 40583",301,UK
294,Alexandra Anderson,andreanguyen@example.net,Richardbury,557.852.0424,1950-03-07,"6610 Kyle Forks Apt. 262 South Pamela, VA 82149",867,Canada
272,Susan Smith,munozdean@example.com,Kaylachester,711.304.3880,2005-11-10,"7789 Elliott Mountain Port Kimberly, AS 14631",557,Australia
491,Linda Guerra,colemansabrina@example.com,North Marcus,(293)479-1914x96243,1992-05-01,"026 Foster Lights Suite 043 South Becky, TN 23131",329,Italy
392,Antonio Morales,ejohnson@example.com,South Mary,+1-418-417-8570,1993-01-03,"64807 Wanda Vista Suite 126 East Monicafort, ME 85780",309,Brazil
271,Nathan Coleman,wlee@example.org,West Haleybury,812-238-6040x19691,1942-07-27,"16999 Nicole Island Sandovalfort, ND 40169",382,Japan
242,Tiffany Harrell,phillipsjohn@example.net,Tarabury,+1-413-437-6108,1946-09-14,"8837 Gonzalez Circles Denniston, NE 36581",883,France
150,Sara Dunn,qsanders@example.net,Nicholasland,001-691-671-2551x6462,1941-03-29,"3603 Silva Harbor Lake Danielleshire, NV 98526",165,Canada
356,Angela Brown,ronaldnoble@example.org,East Debrastad,001-956-305-1995x952,1994-05-13,"7847 Roberto Burg Suite 629 Mariemouth, IL 14990",201,Italy
66,Jennifer Burton,vrhodes@example.com,Marthafort,500-354-6936,1946-10-19,"4562 Bennett Prairie Port Kristinside, WV 56252",340,Brazil
133,Brandon Thompson,jameswest@example.org,Lake Clairestad,001-704-232-1857x9199,1938-10-09,"67695 Guzman Port East Cynthiaborough, TN 87157",750,Canada
281,Mark Simpson,hinesanthony@example.org,East Deannamouth,281.962.8725x7217,1985-10-19,"79119 Melissa Mill Lake Ashley, DE 06240",442,China
192,Jacob Crawford,browndavid@example.org,Smithchester,+1-529-502-6118,1936-11-01,"95351 Anderson Fork Lake Alicefort, CT 76455",134,Germany
478,Leah Summers,williamschaefer@example.net,Derekton,001-224-955-3496x459,1973-05-28,"USNS Becker FPO AE 02629",866,Brazil
251,Michelle Bond,xsmith@example.net,Port Chelsea,+1-636-436-1241,1951-10-01,"6638 Jessica Meadow Suite 476 Reedfort, MO 33112",33,Australia
60,Joseph Escobar,mark19@example.net,Port Arthur,001-316-230-4341x664,1964-04-06,"89423 John Tunnel North Michellebury, NH 09258",23,China
252,Nicole Wiggins,psampson@example.com,Taylortown,001-536-331-4819x47636,1988-12-23,"4229 John Square Apt. 403 South Tammy, SC 75718",427,Brazil
436,Faith Wilson,batesdawn@example.net,Port Danielburgh,464.836.4211x7042,1954-01-30,"2327 Solomon Road North Kathleenfurt, AK 53995",872,France
138,Gabriel Reeves,clarkjill@example.net,West Antoniobury,861.891.8194x06098,1946-10-02,"720 Jacob Dam Bethbury, HI 52128",489,Brazil
62,Derrick Newton,olevy@example.net,Watsonville,524-537-9337,1960-03-18,"834 Howell Union Apt. 730 Charlesfort, PW 53627",187,Germany
240,Jeremiah Walker,jaclynsmith@example.net,South Sarah,288.986.5871,1966-12-29,"87241 Stephanie Isle West Derrickshire, VI 09319",522,China
161,Kelly Andrews,charles75@example.net,Port Karen,986-789-3956,1969-09-22,"168 Manning Field Apt. 257 Katieview, ME 98988",49,Brazil
227,Stephen Sanchez,reidjeff@example.com,Jacksonborough,269-454-9526,1946-04-25,"83755 Tran Key Laceybury, CA 37304",317,Canada
387,Bonnie Harris,teresa72@example.org,Lake Michelleshire,712.866.6079x46123,1950-11-12,"9686 Logan Junction Apt. 604 Norrisbury, DC 15628",767,China
126,Jennifer Hurst,mstevenson@example.com,Jaredbury,753.309.4497x84866,1933-07-12,"13469 Johnson Lodge Apt. 517 Jamesmouth, MO 65439",14,Canada
131,Timothy Herman,catherine93@example.net,New Bryan,640-537-6658x27218,1981-01-20,"8186 Jon Dale East Cody, LA 34255",39,Canada
288,Jason Austin,kimberly16@example.net,New Gabrieltown,+1-679-332-6649x66712,1949-03-12,"9583 Jackson Views Apt. 612 Lake Andrew, NJ 70879",672,Canada
409,Hannah Soto,pwaters@example.com,Lake Brad,+1-895-912-7529,1944-06-01,"16470 Wagner Canyon Suite 949 New Devinview, TN 19299",744,Canada
463,Jeremiah Crawford,snyderdavid@example.org,Port Johnton,563.818.3488,1952-08-12,"PSC 1196, Box 9349 APO AE 13342",1000,Japan
416,Megan Simpson,mbrown@example.net,New Brandonberg,(253)303-4212x510,1970-09-22,"9752 Garcia Ridges Apt. 382 Port Michelle, TX 38869",145,Germany
76,Omar Brown,jenniferjames@example.net,Kennethbury,8223360971,1939-06-04,"18722 Bryant Groves Port Caitlinfurt, PA 44308",192,UK
182,Jason Clark,caroline63@example.org,Robinsonborough,500-368-7150x4933,1970-09-29,"USS Ingram FPO AE 08264",141,Brazil
160,Miguel Reynolds,croth@example.org,Christineburgh,730-985-7010x951,1986-08-03,"3907 Dorothy Grove Suite 047 Lake Alexis, CO 06042",426,USA
107,Amber Rodriguez,shawjamie@example.com,New Dawn,285-206-3927,1933-09-20,"3101 Madison Prairie New Sarahmouth, WV 70513",98,USA
13,Bryan Warren,sanford91@example.net,East Cynthia,001-756-247-0584x682,1965-04-28,"13022 Warren Corner Suite 843 East Susan, VI 54694",621,Japan
379,Jeffrey Barrett,trevorsolis@example.net,Lake Ericfurt,357.642.3725,1995-05-26,"1881 Gutierrez Hills New Christine, KY 99385",44,USA
243,Charles White,swheeler@example.com,Joshuaville,531-805-1504,1985-06-24,"47608 Hill Cliff Port Robert, LA 44526",200,Canada
99,Elizabeth Chan,williamramos@example.org,East Casey,446.794.6048x49145,1965-11-21,"817 Kimberly Rest Suite 352 Tanyachester, CT 09870",625,UK
139,Lindsey Moore,dianewilliams@example.net,Christophershire,240.665.4462,1978-11-12,"205 James Street South Madisonport, CO 28593",697,UK
170,Steven Hall,jacobmoore@example.org,Lake Tiffanyburgh,(643)825-7404x186,1956-05-14,"169 David Bypass Suite 370 Jorgemouth, VI 83994",622,USA
88,Teresa Ross,carmenlewis@example.net,Mitchellport,001-893-641-5093x582,1990-09-13,"11476 Evans Causeway Suite 616 Morganstad, FL 90490",232,Germany
43,Dr. Joshua Leonard,kellyyoung@example.com,West Karen,592-805-9874x818,1997-10-28,"70058 Cameron Roads Jessicaberg, TN 81863",123,Japan
149,Brandy Perez,ambermurphy@example.net,Adamsmouth,504-733-1861x8905,1980-12-12,"35344 Richard Junction Robertfurt, FL 41982",326,Canada
127,Matthew Collins,phillip36@example.com,Port Jeremy,(354)978-6785x0598,1961-01-15,"9384 Dennis Fords Port Keith, VT 99132",440,Japan
179,Bobby Wilson,dawn90@example.net,South Elizabeth,852.482.5638x1697,1936-04-12,"50955 Jason Hill Apt. 063 Port Vanessa, MO 66843",524,Italy
110,David Miller,wwilliams@example.net,Port Charlesland,781.230.8314,1997-09-19,"1433 Pena Highway Apt. 548 Deanton, DC 20775",100,USA
381,Michael Guerrero,derrick42@example.net,West Marcus,805-515-0429x20564,1971-07-12,"21042 Vanessa Bridge Suite 748 North Megan, FL 59901",497,Germany
246,Courtney Gutierrez,joseph71@example.net,Crossstad,428-396-8542,1955-09-01,"80603 Daniel Tunnel Apt. 689 Brandonton, OK 51743",981,Australia
160,Stephen Jimenez,carltonsamantha@example.net,New Kyle,744.373.2907x6539,1975-06-24,"28844 Mclaughlin Springs Kellyborough, WA 74682",439,China
79,Laura Lewis,williamguzman@example.com,New Kristenmouth,(556)546-8658,1996-11-22,"294 Stephen Bypass Apt. 120 Lake Leslieview, IA 46762",489,Germany
390,Jose Adams,lunacarr@example.com,North Michael,574.619.0580x0090,1947-01-28,"12929 Ferguson Ridges South Jose, AR 50850",716,UK
119,Jennifer Ferguson,monica44@example.com,Rogerland,(225)594-9444,1962-09-25,"07539 Mary Pike South Stephanie, NV 21085",970,France
9,Eric Cox,alexsmith@example.org,New Rodney,406-474-9158,1974-05-06,"60045 Barrett Knolls Apt. 690 Timothyside, WA 93278",972,China
223,David Thomas,byoung@example.org,North Colleenfurt,(636)606-2966x75825,1961-12-26,"37673 Michael Stream Apt. 502 New Elizabeth, MS 76451",477,Japan
131,Amy Taylor,barbaramccarthy@example.com,East Shelly,604.671.4530,1995-02-10,"7029 Ortiz Circle Marcusview, LA 20679",729,Australia
159,Carolyn Wong,meganburgess@example.com,South Derrickfort,(237)893-0032x928,1955-10-26,"05480 Barry Crest Apt. 708 Kaitlynbury, NE 23232",728,Germany
245,William Scott,anthony33@example.net,Lake Matthewport,(680)626-6498x53044,1957-11-14,"0332 Williams Crossroad Apt. 944 South Christine, IN 47407",660,Germany
285,Robert Bailey,shane85@example.com,Jonburgh,612.244.6936,1960-01-29,"128 Joshua Route Apt. 222 South Jenniferborough, IN 95726",898,Germany
